system:index,Grid_ID,mean,.geo
00000000000000000000,957,26.844159139531996,"{""type"":""Polygon"",""coordinates"":[[[121.29090913151374,14.622727278362808],[121.29541361424158,14.622727301722325],[121.29541361424158,14.62723179641679],[121.29090913151374,14.627231779271801],[121.29090913151374,14.622727278362808]]]}"
00000000000000000001,958,26.467336689440273,"{""type"":""Polygon"",""coordinates"":[[[121.29090913151374,14.62727275294399],[121.29541361424158,14.62727268980642],[121.29541361424158,14.631777190035352],[121.29090913151374,14.631777259376333],[121.29090913151374,14.62727275294399]]]}"
00000000000000000002,959,26.403799700150294,"{""type"":""Polygon"",""coordinates"":[[[121.29090913151374,14.631818155733416],[121.29541361424158,14.631818163700936],[121.29541361424158,14.636322669361556],[121.29090913151374,14.636322667580668],[121.29090913151374,14.631818155733416]]]}"
00000000000000000003,960,26.57282794943852,"{""type"":""Polygon"",""coordinates"":[[[121.29090913151374,14.636363644218546],[121.29541361424158,14.63636364450959],[121.29541361424158,14.64086815549628],[121.29090913151374,14.64086816137793],[121.29090913151374,14.636363644218546]]]}"
00000000000000000004,961,26.40900424460376,"{""type"":""Polygon"",""coordinates"":[[[121.29090913151374,14.64090906069329],[121.29541361424158,14.64090905332469],[121.29541361424158,14.645413569529033],[121.29090913151374,14.64541358305638],[121.29090913151374,14.64090906069329]]]}"
00000000000000000005,962,26.461735562723366,"{""type"":""Polygon"",""coordinates"":[[[121.29090913151374,14.64545456265652],[121.29541361424158,14.645454547639376],[121.29541361424158,14.649959068958607],[121.29090913151374,14.64995901131079],[121.29090913151374,14.64545456265652]]]}"
00000000000000000006,963,26.545161229733182,"{""type"":""Polygon"",""coordinates"":[[[121.29090913151374,14.649999992390757],[121.29541361424158,14.649999969741913],[121.29541361424158,14.65450449606762],[121.29090913151374,14.654504524847324],[121.29090913151374,14.649999992390757]]]}"
00000000000000000007,964,26.5994473143473,"{""type"":""Polygon"",""coordinates"":[[[121.29090913151374,14.654545428593668],[121.29541361424158,14.654545477136844],[121.29541361424158,14.659049929553694],[121.29090913151374,14.659049965937195],[121.29090913151374,14.654545428593668]]]}"
00000000000000000008,965,26.56520171581456,"{""type"":""Polygon"",""coordinates"":[[[121.29090913151374,14.659090871158812],[121.29541361424158,14.659090912101059],[121.29541361424158,14.663595448125827],[121.29090913151374,14.663595413283742],[121.29090913151374,14.659090871158812]]]}"
00000000000000000009,966,26.476630596810494,"{""type"":""Polygon"",""coordinates"":[[[121.29090913151374,14.663636319979775],[121.29541361424158,14.663636353335054],[121.29541361424158,14.668140894049602],[121.29090913151374,14.66814086678054],[121.29090913151374,14.663636319979775]]]}"
